experiment_name,model_name,hypothesis_group,category,expected_direction,fold8_mape,fold9_mape,fold10_mape,mean_mape,weighted_mape_235,weighted_mape_127,delta_vs_current_best_fold10,safe_risk_score,exploratory_score,mean_abs_delta_vs_current_best,mean_rel_delta_vs_current_best,mean_abs_relative_delta_vs_current_best,max_rel_delta_vs_current_best,share_abs_delta_vs_current_best_gt_0p1pct,share_abs_delta_vs_current_best_gt_0p3pct,share_abs_delta_vs_current_best_gt_1pct,share_abs_delta_vs_current_best_gt_3pct,share_changed_stores,generated_submission,comment,lb_score,lb_mape,lb_verdict,delta_lb_vs_best
exploratory_selector_outlier_w0p75,segment_selector,selector,exploratory,mixed,5.307043790864858,9.758039151804141,6.271867777511083,7.1123169067266945,7.124754392469756,6.872619653705072,-0.08847010623887375,8.656120718102219,6.893746389281079,68155.26719337463,-0.00046972107766360643,0.0019588607070019303,0.3547541680104865,0.19107446034440942,0.16468590831918506,0.05321367935968955,0.006645646373999515,0.20339558573853989,,"Более смелый selector по сегменту outlier, safety blend 75/25.",,,,
selector_by_volatility_w0p50,segment_selector,selector,moderate,mixed,5.310431633670277,9.204547960422095,6.273231954644238,6.929403849578871,6.960066692182803,6.763215123702414,-0.0871059291057188,8.855550323923756,6.785178528478473,66920.99538840892,0.000581110215690202,0.0020710112716279096,0.23650277867365765,0.24535532379335434,0.19936939121998545,0.05214649527043415,0.006839679844773223,0.4,,Selector выбирает лучшую базовую модель по сегменту volatility и смешивает 50/50 с current best.,,,,
october_low_recovery_safe_v1,october_outlier,outlier_specific,moderate,up,5.200523796898116,9.032058983340788,6.472178372388167,6.9015870508756905,6.9858116405759425,6.856989037029686,0.11184048863820983,8.97352475949445,6.939144272430618,101658.87115867212,0.002453941249268311,0.0033067316534484297,0.633259934292357,0.24220227989328158,0.16167838952219257,0.10696095076400679,0.014892068881882124,1.0,,Безопасный Low October recovery: низкий октябрь слегка возвращается к rolling median.,,,,
selector_by_rto_decile_w0p50,segment_selector,selector,moderate,mixed,5.244504436866261,9.077379945433506,6.273920427416744,6.865268269905504,6.909075084711676,6.731670731965048,-0.08641745633321296,9.008587537262997,6.745540243822296,83496.92969757372,0.0009142324158922682,0.0018180934627354281,0.106398262179838,0.37501819063788505,0.23555663351928208,0.024836284259034683,0.0032985690031530437,0.4999757458161533,,Selector выбирает лучшую базовую модель по сегменту rto_decile и смешивает 50/50 с current best.,,,,
october_asymmetric_safe_v1,october_outlier,outlier_specific,exploratory,mixed,5.100625664667971,9.00313522931885,6.409125127528263,6.8376286738383625,6.925628265493381,6.7970772016003504,0.0487872437783059,9.109750430304478,6.825550146483668,71534.55782229164,-0.00033426935908685627,0.0019519475878991648,0.19090425808034503,0.27950521464952705,0.2390007276255154,0.019451855445064274,0.0017948096046568032,1.0,,Безопасная асимметричная обработка октябрьских выбросов.,,,,
weighted_oof_trend_v1,weighted_mixture,weighted_mixture,moderate,mixed,5.273409193726925,8.99991769464639,6.563979373631297,6.945768754001538,7.036646833954951,6.9221100198438785,0.20364148988134012,9.134329033308973,7.039554303064178,81562.63916353363,0.002424416283900138,0.0026654091525604457,0.1934390283700224,0.2556390977443609,0.17429056512248361,0.09468833373756973,0.017754062575794323,0.2893039049235993,,OOF-веса по bucket тренда.,,,,
selector_by_region_rto_w0p50,segment_selector,selector,moderate,mixed,5.2486438425972395,9.066364560119421,6.283430098301143,6.866146167005934,6.9113531857058454,6.736538365094409,-0.07690778544881383,9.181357256200139,6.756296808947533,79618.8083703712,0.00015741853435184965,0.002247396556295661,0.34392848621878164,0.38190637885035167,0.24176570458404076,0.045694882367208346,0.00538442881397041,0.5304390007276255,,Selector выбирает лучшую базовую модель по сегменту region_rto и смешивает 50/50 с current best.,,,,
selector_by_outlier_w0p50,segment_selector,selector,moderate,mixed,5.261330353530706,9.49958655220125,6.29717311702854,7.019363340920165,7.050728594880786,6.834071527713299,-0.06316476672141746,9.217419934488559,6.851671736899403,70072.47964672958,0.0004211049513040888,0.0021201590149351485,0.23650277867365765,0.45825854959980594,0.24661654135338346,0.025127334465195245,0.004559786563182149,0.5390249818093621,,Selector выбирает лучшую базовую модель по сегменту outlier и смешивает 50/50 с current best.,,,,
temporal_hgb_ratio_v1,temporal_pattern,temporal_model,exploratory,mixed,5.2687501927794855,9.086779779912389,6.330339363132769,6.8952897786082135,6.944953654095999,6.775468529453365,-0.02999852061718844,9.435233436582354,6.784955187609121,77720.86765602381,-2.9697039456507276e-05,0.0023231561712457414,0.030727426943743925,0.7228231869997574,0.2862478777589134,0.008343439243269465,9.701673538685423e-05,1.0,,Temporal pattern model: HistGradientBoosting по форме траектории.,,,,
october_high_rollback_raw,october_outlier,outlier_specific,exploratory,down,4.683103894365556,8.858196636429854,6.464449555863578,6.668583362219663,6.826304547733857,6.765064405827031,0.10411167211362127,9.438364539833529,6.936726764197697,237361.62764778544,-0.005331577253318631,0.0055254399174564,0.1611126945735557,0.23468348290080038,0.17938394373029348,0.17938394373029348,0.05656075673053602,1.0,,Исходный High October rollback оказался слишком резким; оставлен только для оценки риска.,,,,
