fold,segment_type,segment_value,n,cluster_mape,temporal_mape,winner,temporal_minus_cluster_mape
8,region_x_rto_decile,Московская обл__8,385,6.124659759314099,6.239708360193739,cluster,0.11504860087964008
8,region_x_rto_decile,Московская обл__9,470,6.0231156342536085,6.170168769528012,cluster,0.14705313527440378
9,rto_decile,0,2062,7.224503655704408,7.241097500473928,cluster,0.016593844769520416
9,rto_decile,1,2061,7.256505653936351,7.2550227967560765,temporal,-0.0014828571802745216
9,rto_decile,2,2062,7.433425549943825,7.438243411038539,cluster,0.004817861094713827
9,rto_decile,3,2061,7.781250395296436,7.780285767262654,temporal,-0.0009646280337811675
9,rto_decile,4,2062,8.002131865635784,7.983765058708031,temporal,-0.0183668069277525
9,rto_decile,5,2061,8.756621522817092,8.715262416746997,temporal,-0.04135910607009485
9,rto_decile,6,2061,9.134683294751408,9.077330039664085,temporal,-0.05735325508732281
9,rto_decile,7,2062,10.01730034856712,9.9487455520288,temporal,-0.06855479653832042
9,rto_decile,8,2061,11.047709765528237,10.952729898647114,temporal,-0.0949798668811237
9,rto_decile,9,2062,13.442287241055917,13.319150938603585,temporal,-0.1231363024523322
9,volatility_bucket,0,4123,5.5603832958290464,5.523541279401712,temporal,-0.0368420164273342
9,volatility_bucket,1,4123,5.999086605244944,5.963533860148498,temporal,-0.035552745096445904
9,volatility_bucket,2,4123,6.702255105154004,6.663175308600344,temporal,-0.03907979655365956
9,volatility_bucket,3,4123,8.611823896581335,8.590248926817187,temporal,-0.02157496976414741
9,volatility_bucket,4,4123,18.174920612597294,18.11557809253073,temporal,-0.05934252006656493
9,trend_bucket,0,6455,13.489860479544804,13.458717402183765,temporal,-0.031143077361038607
9,trend_bucket,1,6267,7.101912427577521,7.064591023664353,temporal,-0.03732140391316818
9,trend_bucket,2,4585,6.423841575731791,6.382028304653682,temporal,-0.04181327107810873
9,trend_bucket,3,2331,6.880600513372566,6.83080251369381,temporal,-0.049797999678755644
9,trend_bucket,4,977,8.861936347522775,8.81022946349854,temporal,-0.05170688402423451
9,outlier_bucket,0,13474,7.609089948058307,7.575411750043982,temporal,-0.033678198014325034
9,outlier_bucket,1,4875,9.45853950000333,9.412489848051415,temporal,-0.04604965195191468
9,outlier_bucket,2,1352,11.148922318781553,11.11139295266735,temporal,-0.0375293661142031
9,outlier_bucket,3,914,24.098729556208955,24.02846629884757,temporal,-0.07026325736138617
9,Регион,Алтайский край,131,10.455348430815183,10.506125983050252,cluster,0.05077755223506841
